! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $
! Revision 1.4  2012-06-26 16:17:18-07  lli
! CHanged eror checker names from Tx to Rx
!,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
30.694.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.695,25G Rx1 Sense Amp offset 8,16'h0000,,
30.695.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.695.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.944,25G Rx2 Sense Amp offset 1,16'h0000,,
30.944.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.944.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.945,25G Rx2 Sense Amp offset 2,16'h0000,,
30.945.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.945.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.946,25G Rx2 Sense Amp offset 3,16'h0000,,
30.946.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.946.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.947,25G Rx2 Sense Amp offset 4,16'h0000,,
30.947.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.947.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.948,25G Rx2 Sense Amp offset 5,16'h0000,,
30.948.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.948.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.949,25G Rx2 Sense Amp offset 6,16'h0000,,
30.949.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.949.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.950,25G Rx2 Sense Amp offset 7,16'h0000,,
30.950.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.950.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.951,25G Rx2 Sense Amp offset 8,16'h0000,,
30.951.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.951.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1200,25G Rx3 Sense Amp offset 1,16'h0000,,
30.1200.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1200.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1201,25G Rx3 Sense Amp offset 2,16'h0000,,
30.1201.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1201.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1202,25G Rx3 Sense Amp offset 3,16'h0000,,
30.1202.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1202.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1203,25G Rx3 Sense Amp offset 4,16'h0000,,
30.1203.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1203.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1204,25G Rx3 Sense Amp offset 5,16'h0000,,
30.1204.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1204.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1205,25G Rx3 Sense Amp offset 6,16'h0000,,
30.1205.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1205.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1206,25G Rx3 Sense Amp offset 7,16'h0000,,
30.1206.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1206.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1207,25G Rx3 Sense Amp offset 8,16'h0000,,
30.1207.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1207.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.440,25G Rx0 Sense Amp offset Control,16'h0002,,
30.440.15:2,Reserved,R,,
30.440.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.440.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.696,25G Rx1 Sense Amp offset Control,16'h0002,,
30.696.15:2,Reserved,R,,
30.696.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.696.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.952,25G Rx2 Sense Amp offset Control,16'h0002,,
30.952.15:2,Reserved,R,,
30.952.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.952.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.1208,25G Rx3 Sense Amp offset Control,16'h0002,,
30.1208.15:2,Reserved,R,,
30.1208.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.1208.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.441,25G Rx Lane 0 Eq offset,16'h007C,,
30.441.15:14,Reserved,R,,
30.441.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.441.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.441.1,Reserved,R,,
30.441.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.697,25G Rx Lane 1 Eq offset,16'h007C,,
30.697.15:14,Reserved,R,,
30.697.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.697.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.697.1,Reserved,R,,
30.697.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.953,25G Rx Lane 2 Eq offset,16'h007C,,
30.953.15:14,Reserved,R,,
30.953.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.953.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.953.1,Reserved,R,,
30.953.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.1209,25G Rx Lane 3 Eq offset,16'h007C,,
30.1209.15:14,Reserved,R,,
30.1209.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.1209.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.1209.1,Reserved,R,,
30.1209.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.448,25G Rx Lane 0 Amux control,16'h1000,,
30.448.15:14,Reserved,R,,
